Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Admission grade,Educational special needs,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Target
171,1,1,122,127,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
9254,1,1,160,142,0,0,1,0,19,0,6,6,6,14,0,0,6,6,6,13,0,1
9070,1,1,122,124,0,0,1,0,19,0,6,0,0,0,0,0,6,0,0,0,0,0
9773,1,1,122,119,0,1,0,0,20,0,6,8,6,13,0,0,6,10,5,12,0,1
8014,0,1,100,141,0,1,0,0,45,0,6,9,5,12,0,0,6,6,6,13,0,1
9991,0,19,133,114,0,1,1,0,50,0,5,10,5,11,0,0,5,17,5,11,5,1
9500,1,1,142,128,0,1,0,1,18,0,7,9,7,13,0,0,8,8,8,14,0,1
9254,1,1,119,113,0,0,1,0,22,0,5,5,0,0,0,0,5,5,0,0,0,0
9238,1,1,137,129,0,1,0,1,21,0,6,8,6,13,0,0,6,7,6,14,0,1
9238,1,1,138,123,0,0,0,0,18,0,6,9,5,11,0,0,6,14,2,13,0,0
9670,1,1,139,130,0,1,0,0,18,0,6,6,6,12,0,0,6,7,5,14,0,1
9500,1,1,136,119,0,1,0,1,18,0,8,8,7,13,0,0,8,8,7,13,0,1
9853,1,1,133,130,0,1,0,0,19,0,6,6,0,0,0,0,6,0,0,0,0,0
9254,1,42,110,111,0,1,0,1,21,0,6,7,6,10,0,0,6,8,5,11,0,1
9085,1,1,149,137,0,1,0,1,18,0,5,7,4,13,0,0,5,5,5,12,0,1
9773,1,1,127,120,0,1,0,0,20,0,6,6,5,13,0,0,6,7,0,0,0,0
9238,1,1,137,137,0,1,0,0,18,0,6,10,1,12,0,0,6,14,2,11,0,2
9500,1,1,135,127,0,1,0,0,18,0,7,8,7,13,0,0,8,8,8,14,0,1
9130,1,1,137,136,0,1,0,0,20,0,5,8,4,12,1,0,5,8,4,12,2,1
9853,1,1,140,124,0,1,0,0,18,0,7,7,6,11,0,0,7,8,6,13,0,2
171,1,1,122,120,0,1,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,1
9556,1,1,127,121,0,1,0,0,20,0,7,14,7,11,0,0,8,9,8,11,0,2
9500,1,1,142,125,0,1,0,0,18,0,8,12,7,12,0,0,8,12,7,12,0,1
9670,1,1,125,114,0,1,0,1,19,0,6,8,6,13,0,0,6,7,6,12,0,1
9500,1,1,126,123,0,1,0,0,19,0,7,8,6,13,0,0,8,9,7,14,0,1
9238,1,1,151,157,0,1,0,1,18,0,6,8,5,11,0,0,6,12,4,11,0,2
9238,1,1,115,116,0,1,0,0,21,0,6,9,6,11,0,0,6,9,6,13,0,1
9085,1,1,138,131,0,1,0,0,18,0,5,9,5,12,2,0,5,7,4,13,0,2
9147,1,1,135,122,0,1,0,0,20,0,5,6,5,12,0,0,5,6,5,12,0,1
9500,1,1,127,118,0,1,1,0,19,0,7,9,6,12,0,0,7,7,6,13,0,2
9003,1,39,150,150,0,1,1,0,21,0,6,15,5,11,0,0,6,17,5,10,0,2
9070,1,1,125,130,0,1,1,0,20,2,6,7,6,12,0,0,6,9,4,13,0,1
9147,1,1,143,138,0,0,1,0,18,0,5,9,3,11,0,0,5,8,2,13,0,2
8014,0,1,138,134,0,1,0,0,19,0,6,6,6,12,0,0,6,8,6,14,0,1
9991,0,1,130,131,0,1,1,0,34,0,5,6,5,12,0,0,5,9,5,13,0,1
33,1,1,130,102,0,0,1,0,37,0,7,7,0,0,0,0,7,7,1,10,0,0
9119,1,10,133,128,0,1,1,0,43,0,5,0,0,0,0,0,5,0,0,0,0,0
9147,1,1,140,122,0,1,0,0,55,0,5,10,1,10,0,0,5,8,2,12,2,0
9991,0,1,120,113,0,1,0,0,39,0,5,8,5,11,0,0,5,5,5,11,0,1
9130,1,39,120,120,0,0,0,0,20,2,6,13,3,11,0,1,6,11,3,12,0,0
9773,1,1,126,121,0,1,0,0,18,0,6,6,4,12,0,0,5,5,0,0,0,0
9147,1,1,133,120,0,1,0,0,22,0,5,5,5,14,0,0,5,5,5,15,0,1
9500,1,1,103,100,1,1,0,0,22,0,7,9,5,13,0,0,8,9,7,14,0,1
9773,1,1,120,121,0,0,0,0,20,0,6,7,4,13,0,0,6,7,5,13,0,0
9991,0,1,133,109,0,1,0,0,29,0,5,0,0,0,0,0,5,0,0,0,0,0
9991,0,1,154,134,0,1,0,0,24,0,5,9,2,11,0,0,5,11,3,14,1,2
9238,1,1,130,127,0,1,0,0,18,0,6,6,6,11,0,0,6,8,5,13,0,1
9500,1,1,132,132,0,1,0,1,22,0,7,8,6,13,0,0,8,9,7,13,0,1
8014,0,39,130,133,0,1,0,1,21,3,6,6,6,11,0,2,6,7,6,13,0,1
9238,1,1,139,126,0,1,0,1,19,0,6,7,5,12,0,0,6,7,6,12,0,1
9254,1,1,130,113,0,1,0,1,24,0,6,6,6,13,0,0,6,6,6,14,0,1
9500,1,1,139,121,0,1,0,1,19,0,8,10,6,11,0,0,8,10,6,11,0,2
9773,1,1,127,121,0,1,0,1,20,0,6,11,4,14,0,0,6,12,3,11,0,2
9130,1,1,167,159,0,1,0,0,19,0,5,7,5,14,0,0,5,5,5,15,0,1
9991,0,1,130,120,0,1,0,0,27,0,5,12,5,10,0,0,5,10,5,11,0,0
9500,1,1,130,129,0,1,0,0,18,0,7,9,7,13,0,0,8,10,8,13,0,1
9254,1,3,130,130,0,1,0,0,39,0,6,10,0,0,0,0,6,6,0,0,0,0
9130,1,40,129,155,0,1,0,0,27,0,6,9,5,13,0,5,11,13,10,12,0,0
9500,1,1,141,139,0,1,0,0,18,0,8,8,8,14,0,0,8,8,8,14,0,1
171,1,1,125,115,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2
9500,1,1,125,114,0,1,0,0,18,0,7,8,6,13,0,0,8,12,7,12,0,1
9238,1,39,130,131,0,1,0,1,21,3,6,7,6,12,0,2,6,7,6,12,0,1
171,1,1,133,126,0,1,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,2
9070,1,1,127,130,0,1,1,0,19,0,6,6,5,11,0,0,6,8,1,10,0,2
9070,1,1,116,120,0,1,1,0,24,0,6,6,0,0,0,0,6,6,0,0,0,2
9500,1,19,133,126,0,1,1,0,29,2,7,10,5,11,0,1,8,10,5,11,0,0
171,1,1,139,128,0,1,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,1
9003,1,39,130,130,0,1,1,0,23,0,6,8,6,12,0,0,6,7,6,12,0,1
